shop_num,cash_num,cheque_id,date,product,category,quantity,price,discount_perc
10,2,cheque_№-8709652656,2025-05-24 18:16:42,Набор посуды для кухни,Инструмент,5,613,20
10,2,cheque_№-5242553834,2025-01-31 11:09:41,Щётка для чистки,Кухонные принадлежности,2,1083,0
10,2,cheque_№-1454218512,2025-01-19 09:12:39,Набор посуды для кухни,Инструмент,6,1991,10
10,2,cheque_№-5293091066,2025-02-08 15:47:56,Ароматизатор воздуха,Инструмент,9,3514,5
10,2,cheque_№-6186564977,2025-02-22 14:53:46,Средство для дезинфекции,Бытовая химия,8,4826,0
10,2,cheque_№-0627791030,2025-06-01 01:07:58,Шуруповерт,Бытовая химия,5,2442,5
10,2,cheque_№-7691201009,2025-06-06 09:13:58,Набор отверток,Бытовая химия,6,981,5
10,2,cheque_№-2572509141,2025-04-01 08:22:16,Средство для удаления пятен,Кухонные принадлежности,4,4514,0
10,2,cheque_№-8570423275,2025-03-14 18:01:25,Экологичный стиральный порошок,Бытовая химия,10,3282,5
10,2,cheque_№-8021976540,2025-03-30 00:29:24,Набор отверток,Бытовая химия,7,257,15
10,2,cheque_№-0099290441,2025-02-08 18:21:21,Средство для удаления пятен,Кухонные принадлежности,3,1877,0
10,2,cheque_№-8463212756,2025-03-06 18:14:04,Набор кухоных ножей,Инструмент,3,2198,5
10,2,cheque_№-3808675314,2025-02-06 22:55:52,Набор инструментов для мелкого ремонта,Бытовая химия,3,712,20
10,2,cheque_№-1279337635,2025-06-16 02:40:15,Щётка для чистки,Бытовая химия,5,1108,10
10,2,cheque_№-3101064350,2025-05-23 14:52:31,Набор посуды для кухни,Кухонные принадлежности,3,2497,15
10,2,cheque_№-2965694467,2025-03-21 02:16:22,Шуруповерт,Кухонные принадлежности,5,1886,20
10,2,cheque_№-8124883936,2025-02-14 20:49:43,Набор отверток,Инструмент,1,3800,10
10,2,cheque_№-1264612865,2025-01-04 01:57:06,Набор губок для мытья посуды,Инструмент,6,2746,20
10,2,cheque_№-4523631263,2025-02-03 21:55:32,Набор инструментов для мелкого ремонта,Инструмент,7,4158,0
10,2,cheque_№-0112034388,2025-04-24 08:36:32,Набор отверток,Инструмент,6,1867,15
10,2,cheque_№-4214807090,2025-05-21 02:18:40,Набор губок для мытья посуды,Инструмент,8,772,5
10,2,cheque_№-1294860644,2025-06-10 22:31:06,Средство для очистки канализационных труб,Инструмент,2,4542,0
10,2,cheque_№-9476836911,2025-04-13 21:41:16,Средство для очистки канализационных труб,Инструмент,9,2929,20
10,2,cheque_№-3243807240,2025-03-20 19:54:01,Средство для ухода за стеклом,Бытовая химия,10,2975,5
10,2,cheque_№-5884004960,2025-03-11 01:07:14,Набор посуды для кухни,Кухонные принадлежности,1,3390,15
10,2,cheque_№-5716840329,2025-04-20 08:20:22,Средство для ухода за стеклом,Инструмент,8,2311,5
10,2,cheque_№-5513409030,2025-03-22 05:50:37,Набор кухоных ножей,Инструмент,10,4719,5
10,2,cheque_№-7668651660,2025-05-09 03:28:59,Шуруповерт,Бытовая химия,8,433,5
10,2,cheque_№-9009845521,2025-03-20 11:03:01,Средство для удаления пятен,Инструмент,1,2272,0
10,2,cheque_№-8066884178,2025-06-09 14:15:55,Набор губок для мытья посуды,Кухонные принадлежности,9,807,5
10,2,cheque_№-1002734053,2025-02-05 19:48:56,Полироль для мебели,Инструмент,4,4833,20
10,2,cheque_№-5438378018,2025-03-06 15:03:10,Набор отверток,Кухонные принадлежности,8,3035,0
10,2,cheque_№-9338130700,2025-05-01 05:13:21,Набор инструментов для мелкого ремонта,Кухонные принадлежности,6,3548,5
10,2,cheque_№-7870621217,2025-01-10 23:10:12,Набор инструментов для мелкого ремонта,Бытовая химия,8,379,20
10,2,cheque_№-9508472308,2025-02-16 00:00:50,Набор инструментов для мелкого ремонта,Инструмент,9,375,0
10,2,cheque_№-6295631840,2025-01-16 04:05:14,Средство для удаления пятен,Бытовая химия,2,1704,15
10,2,cheque_№-1660194256,2025-03-30 11:27:25,Ароматизатор воздуха,Инструмент,6,4403,5
10,2,cheque_№-3977516433,2025-04-08 13:18:17,Набор губок для мытья посуды,Инструмент,8,3781,0
