shop_num,cash_num,cheque_id,date,product,category,quantity,price,discount_perc
7,3,cheque_№-1423890329,2025-05-14 20:18:23,Средство для ухода за стеклом,Кухонные принадлежности,7,3378,10
7,3,cheque_№-8921372214,2025-05-26 10:04:58,Набор посуды для кухни,Кухонные принадлежности,5,4103,5
7,3,cheque_№-1359754481,2025-06-09 22:43:58,Средство для очистки канализационных труб,Кухонные принадлежности,9,4541,5
7,3,cheque_№-6602347881,2025-02-21 10:45:09,Набор губок для мытья посуды,Кухонные принадлежности,3,1030,0
7,3,cheque_№-9354655031,2025-04-13 17:19:40,Средство для ухода за стеклом,Бытовая химия,5,2350,0
7,3,cheque_№-7961163415,2025-06-13 02:25:16,Набор губок для мытья посуды,Кухонные принадлежности,9,3958,0
7,3,cheque_№-1662364591,2025-03-04 11:53:55,Ароматизатор воздуха,Бытовая химия,2,2538,5
7,3,cheque_№-7108350359,2025-06-17 01:56:53,Щётка для чистки,Бытовая химия,10,4940,15
7,3,cheque_№-4736786953,2025-01-11 04:43:26,Средство для ухода за стеклом,Кухонные принадлежности,1,4528,20
7,3,cheque_№-0553122187,2025-03-23 06:14:31,Шуруповерт,Бытовая химия,5,4876,20
7,3,cheque_№-2326374742,2025-01-12 11:07:39,Средство для ухода за стеклом,Инструмент,6,1407,10
7,3,cheque_№-6593397317,2025-03-05 23:42:34,Набор отверток,Инструмент,6,2081,0
7,3,cheque_№-8489004641,2025-05-19 04:30:04,Набор губок для мытья посуды,Инструмент,5,4668,20
7,3,cheque_№-5197311332,2025-02-07 07:27:07,Салфетка из микрофибры,Бытовая химия,10,2888,5
7,3,cheque_№-0572295965,2025-05-21 17:19:29,Средство для удаления пятен,Инструмент,1,3084,5
7,3,cheque_№-3523651135,2025-03-20 01:39:49,Средство для дезинфекции,Кухонные принадлежности,1,2770,10
7,3,cheque_№-1327104347,2025-06-19 05:51:14,Средство для ухода за стеклом,Бытовая химия,5,551,5
7,3,cheque_№-7356773183,2025-03-13 16:26:19,Шуруповерт,Инструмент,3,2219,15
7,3,cheque_№-5574271821,2025-01-21 07:23:26,Набор инструментов для мелкого ремонта,Кухонные принадлежности,2,3434,0
7,3,cheque_№-0977610845,2025-05-18 12:35:59,Щётка для чистки,Инструмент,9,2040,5
7,3,cheque_№-5205126314,2025-04-30 09:07:00,Щётка для чистки,Инструмент,7,4606,15
7,3,cheque_№-2560344292,2025-05-08 02:23:46,Набор кухоных ножей,Кухонные принадлежности,4,1443,20
7,3,cheque_№-2478350422,2025-06-12 23:44:13,Салфетка из микрофибры,Инструмент,5,4344,10
7,3,cheque_№-3093246883,2025-01-23 20:18:48,Экологичный стиральный порошок,Инструмент,4,2043,5
7,3,cheque_№-4200548672,2025-02-06 14:57:14,Полироль для мебели,Бытовая химия,7,3983,20
7,3,cheque_№-4720297969,2025-04-23 15:59:33,Набор посуды для кухни,Инструмент,3,893,0
7,3,cheque_№-3323459029,2025-05-18 06:12:51,Шуруповерт,Кухонные принадлежности,6,806,15
7,3,cheque_№-5543796353,2025-06-01 22:35:08,Экологичный стиральный порошок,Бытовая химия,4,2070,0
7,3,cheque_№-2722091278,2025-05-31 18:02:24,Экологичный стиральный порошок,Бытовая химия,8,1780,15
7,3,cheque_№-0482302771,2025-05-16 19:44:36,Полироль для мебели,Кухонные принадлежности,4,1175,10
7,3,cheque_№-7155671568,2025-06-11 03:58:40,Средство для ухода за полами,Кухонные принадлежности,10,136,0
7,3,cheque_№-7545955544,2025-05-07 14:31:11,Шуруповерт,Инструмент,4,4833,10
7,3,cheque_№-1646954829,2025-05-11 20:06:56,Набор кухоных ножей,Инструмент,5,420,0
