shop_num,cash_num,cheque_id,date,product,category,quantity,price,discount_perc
10,3,cheque_№-5016487144,2025-01-25 06:23:50,Средство для ухода за стеклом,Бытовая химия,9,3246,0
10,3,cheque_№-6187999069,2025-03-15 21:56:39,Салфетка из микрофибры,Инструмент,10,3373,5
10,3,cheque_№-0998364159,2025-01-02 21:54:07,Салфетка из микрофибры,Инструмент,7,3116,5
10,3,cheque_№-8629223502,2025-01-05 18:33:15,Полироль для мебели,Инструмент,5,1217,5
10,3,cheque_№-5442858658,2025-03-09 14:45:16,Набор посуды для кухни,Бытовая химия,5,4525,0
10,3,cheque_№-5746479943,2025-04-03 04:18:45,Набор губок для мытья посуды,Кухонные принадлежности,1,4183,0
10,3,cheque_№-0915057443,2025-02-14 21:35:53,Средство для ухода за стеклом,Инструмент,8,2780,5
10,3,cheque_№-3558889501,2025-03-12 08:42:20,Средство для удаления пятен,Бытовая химия,1,2715,10
10,3,cheque_№-2393677674,2025-05-25 03:16:52,Набор посуды для кухни,Кухонные принадлежности,8,1448,0
10,3,cheque_№-4823470524,2025-02-10 04:44:46,Средство для ухода за полами,Инструмент,9,2905,15
10,3,cheque_№-7257364215,2025-01-27 14:02:15,Набор отверток,Инструмент,10,3045,20
10,3,cheque_№-2127061586,2025-01-08 17:24:51,Средство для дезинфекции,Инструмент,7,3832,15
10,3,cheque_№-4593379185,2025-01-26 08:14:11,Набор посуды для кухни,Бытовая химия,7,4002,5
10,3,cheque_№-6535968938,2025-03-31 11:57:12,Набор кухоных ножей,Кухонные принадлежности,1,3437,0
10,3,cheque_№-9205927251,2025-04-15 13:56:24,Набор отверток,Кухонные принадлежности,6,1449,15
10,3,cheque_№-6066046160,2025-01-01 05:16:06,Ароматизатор воздуха,Бытовая химия,4,334,0
10,3,cheque_№-0678626429,2025-05-05 00:01:31,Набор кухоных ножей,Инструмент,7,4778,10
10,3,cheque_№-3371983414,2025-03-21 03:46:06,Средство для ухода за стеклом,Бытовая химия,7,4420,0
10,3,cheque_№-8943506064,2025-02-24 09:09:49,Набор губок для мытья посуды,Инструмент,6,4345,10
10,3,cheque_№-6885544841,2025-02-05 04:10:15,Набор кухоных ножей,Бытовая химия,10,4501,5
10,3,cheque_№-7717107630,2025-01-20 06:09:01,Средство для дезинфекции,Инструмент,3,4502,10
10,3,cheque_№-6635009949,2025-06-06 19:17:23,Средство для удаления пятен,Бытовая химия,8,3698,20
10,3,cheque_№-0181478495,2025-06-05 05:30:24,Салфетка из микрофибры,Бытовая химия,8,1782,10
10,3,cheque_№-8680236959,2025-01-21 10:58:23,Средство для ухода за стеклом,Бытовая химия,3,4857,20
10,3,cheque_№-3699701823,2025-02-09 09:03:24,Средство для ухода за стеклом,Кухонные принадлежности,3,4789,20
10,3,cheque_№-2721069580,2025-03-21 07:26:15,Средство для очистки канализационных труб,Бытовая химия,5,742,0
10,3,cheque_№-3162743658,2025-05-04 19:26:08,Средство для ухода за полами,Кухонные принадлежности,7,2864,15
