shop_num,cash_num,cheque_id,date,product,category,quantity,price,discount_perc
8,2,cheque_№-4926882968,2025-03-04 15:54:27,Набор посуды для кухни,Кухонные принадлежности,7,1219,15
8,2,cheque_№-9905179932,2025-02-10 23:39:14,Полироль для мебели,Инструмент,1,4752,20
8,2,cheque_№-5228020534,2025-04-23 06:12:37,Средство для ухода за стеклом,Инструмент,1,4021,10
8,2,cheque_№-3017768915,2025-05-10 18:41:07,Средство для удаления пятен,Кухонные принадлежности,7,740,0
8,2,cheque_№-7738684350,2025-02-06 07:25:48,Набор посуды для кухни,Кухонные принадлежности,7,2224,0
8,2,cheque_№-6656391041,2025-01-06 15:07:38,Набор отверток,Инструмент,5,3109,10
8,2,cheque_№-7779609773,2025-01-29 01:00:25,Средство для дезинфекции,Кухонные принадлежности,1,230,0
8,2,cheque_№-7572026750,2025-02-09 08:50:28,Набор кухоных ножей,Бытовая химия,1,935,15
8,2,cheque_№-1621689185,2025-05-20 13:12:15,Экологичный стиральный порошок,Инструмент,6,2854,5
8,2,cheque_№-3670129284,2025-03-11 09:01:03,Набор посуды для кухни,Бытовая химия,9,2521,20
8,2,cheque_№-0859833745,2025-03-06 23:42:51,Средство для удаления пятен,Бытовая химия,10,1206,20
8,2,cheque_№-3393041110,2025-06-10 23:14:53,Набор инструментов для мелкого ремонта,Бытовая химия,9,4055,0
8,2,cheque_№-3221770509,2025-03-19 20:32:14,Полироль для мебели,Бытовая химия,10,1439,10
8,2,cheque_№-5818850292,2025-01-06 15:14:51,Средство для ухода за стеклом,Бытовая химия,5,1290,5
8,2,cheque_№-5686267845,2025-06-01 22:43:32,Экологичный стиральный порошок,Инструмент,1,1691,20
8,2,cheque_№-0736762459,2025-05-12 05:09:25,Средство для очистки канализационных труб,Бытовая химия,3,1533,20
8,2,cheque_№-7839987180,2025-02-25 20:17:38,Набор посуды для кухни,Инструмент,10,1209,5
8,2,cheque_№-1684678542,2025-05-19 09:13:17,Набор кухоных ножей,Кухонные принадлежности,7,2126,10
8,2,cheque_№-0177868527,2025-03-11 05:49:33,Шуруповерт,Инструмент,6,3529,15
8,2,cheque_№-5717066045,2025-05-30 17:36:46,Набор кухоных ножей,Кухонные принадлежности,2,4163,5
8,2,cheque_№-3911169507,2025-01-16 09:48:07,Набор инструментов для мелкого ремонта,Бытовая химия,5,3055,20
8,2,cheque_№-7190533261,2025-03-17 02:09:01,Набор посуды для кухни,Инструмент,4,3276,20
8,2,cheque_№-9160185875,2025-02-08 03:17:06,Набор кухоных ножей,Бытовая химия,3,2345,15
8,2,cheque_№-3015148134,2025-04-23 22:31:49,Набор кухоных ножей,Инструмент,3,1660,20
8,2,cheque_№-3140850175,2025-05-21 03:14:47,Средство для очистки канализационных труб,Бытовая химия,3,153,0
8,2,cheque_№-6071071455,2025-02-07 01:11:47,Набор отверток,Инструмент,5,1200,15
8,2,cheque_№-9536505661,2025-06-01 09:31:57,Средство для ухода за стеклом,Кухонные принадлежности,1,368,20
8,2,cheque_№-0722748829,2025-04-12 13:56:42,Набор губок для мытья посуды,Инструмент,5,3992,0
8,2,cheque_№-6468058168,2025-01-05 18:36:12,Средство для ухода за полами,Бытовая химия,5,3161,0
8,2,cheque_№-2956174758,2025-02-02 04:55:13,Полироль для мебели,Кухонные принадлежности,8,2535,10
8,2,cheque_№-9332051600,2025-01-06 21:29:08,Набор губок для мытья посуды,Инструмент,8,3571,5
8,2,cheque_№-8473358982,2025-02-06 11:05:09,Щётка для чистки,Кухонные принадлежности,6,3949,15
8,2,cheque_№-1863933106,2025-05-25 22:46:42,Средство для очистки канализационных труб,Инструмент,8,436,20
